,w1,w2,w3,w4,w5,sim
103,Berlin,Germany,Stockholm,Sweden,Sweden,0.8022658228874207
104,Berlin,Germany,Tehran,Iran,Iran,0.7747757434844971
105,Berlin,Germany,Tokyo,Japan,Japan,0.7969788312911987
106,Berlin,Germany,Athens,Greece,Greece,0.6390470862388611
107,Berlin,Germany,Baghdad,Iraq,Mosul,0.686406135559082
108,Berlin,Germany,Bangkok,Thailand,Thailand,0.7680835127830505
109,Berlin,Germany,Beijing,China,China,0.7755853533744812
110,Bern,Switzerland,Cairo,Egypt,Egypt,0.5989274978637695
111,Bern,Switzerland,Canberra,Australia,Australia,0.6860506534576416
112,Bern,Switzerland,Hanoi,Vietnam,Viet_Nam,0.5609371066093445
113,Bern,Switzerland,Havana,Cuba,Cuba,0.6295959949493408
114,Bern,Switzerland,Helsinki,Finland,Finland,0.6637659072875977
115,Bern,Switzerland,Islamabad,Pakistan,Pakistan,0.6708024144172668
116,Bern,Switzerland,Kabul,Afghanistan,Afghanistan,0.5338183641433716
117,Bern,Switzerland,London,England,EURASIAN_NATURAL_RESOURCES_CORP.,0.5463826656341553
118,Bern,Switzerland,Madrid,Spain,Spain,0.6423718333244324
119,Bern,Switzerland,Moscow,Russia,Russia,0.6487589478492737
120,Bern,Switzerland,Oslo,Norway,Norway,0.6448377966880798
121,Bern,Switzerland,Ottawa,Canada,Canada,0.6468112468719482
122,Bern,Switzerland,Paris,France,France,0.6129553914070129
123,Bern,Switzerland,Rome,Italy,Italy,0.6486327052116394
124,Bern,Switzerland,Stockholm,Sweden,Sweden,0.6849664449691772
125,Bern,Switzerland,Tehran,Iran,Iran,0.6813836097717285
126,Bern,Switzerland,Tokyo,Japan,Japan,0.6434275507926941
127,Bern,Switzerland,Athens,Greece,Greece,0.5800099968910217
128,Bern,Switzerland,Baghdad,Iraq,Iraqi,0.5730240941047668
129,Bern,Switzerland,Bangkok,Thailand,Thailand,0.6617313623428345
130,Bern,Switzerland,Beijing,China,China,0.6225298643112183
131,Bern,Switzerland,Berlin,Germany,Germany,0.7138351202011108
132,Cairo,Egypt,Canberra,Australia,Australia,0.6811555027961731
133,Cairo,Egypt,Hanoi,Vietnam,Viet_Nam,0.7589392066001892
134,Cairo,Egypt,Havana,Cuba,Cuba,0.7639017105102539
135,Cairo,Egypt,Helsinki,Finland,Finland,0.7256742119789124
136,Cairo,Egypt,Islamabad,Pakistan,Pakistan,0.8155920505523682
137,Cairo,Egypt,Kabul,Afghanistan,Afghan,0.6829640865325928
138,Cairo,Egypt,London,England,Britain,0.6454267501831055
139,Cairo,Egypt,Madrid,Spain,Spain,0.7469133734703064
140,Cairo,Egypt,Moscow,Russia,Russia,0.8426570892333984
141,Cairo,Egypt,Oslo,Norway,Norway,0.6975642442703247
142,Cairo,Egypt,Ottawa,Canada,Canada,0.6659149527549744
143,Cairo,Egypt,Paris,France,France,0.7114197611808777
144,Cairo,Egypt,Rome,Italy,Italy,0.6812828779220581
145,Cairo,Egypt,Stockholm,Sweden,Sweden,0.7365161776542664
146,Cairo,Egypt,Tehran,Iran,Iran,0.8531846404075623
147,Cairo,Egypt,Tokyo,Japan,Japan,0.7753520011901855
148,Cairo,Egypt,Athens,Greece,Greece,0.7355356216430664
149,Cairo,Egypt,Baghdad,Iraq,Iraqi,0.7208045721054077
150,Cairo,Egypt,Bangkok,Thailand,Thailand,0.8275744318962097
151,Cairo,Egypt,Beijing,China,China,0.806604266166687
152,Cairo,Egypt,Berlin,Germany,Germany,0.7016905546188354
153,Cairo,Egypt,Bern,Switzerland,Switzerland,0.4930407404899597
154,Canberra,Australia,Hanoi,Vietnam,Viet_Nam,0.6714490652084351
155,Canberra,Australia,Havana,Cuba,Cuba,0.6964417695999146
156,Canberra,Australia,Helsinki,Finland,Finland,0.690654993057251
157,Canberra,Australia,Islamabad,Pakistan,Pakistan,0.7743955850601196
158,Canberra,Australia,Kabul,Afghanistan,Afghans,0.5854719877243042
159,Canberra,Australia,London,England,UK,0.6224532723426819
160,Canberra,Australia,Madrid,Spain,Spain,0.7410276532173157
161,Canberra,Australia,Moscow,Russia,Russia,0.7891086339950562
162,Canberra,Australia,Oslo,Norway,Norway,0.6703749299049377
163,Canberra,Australia,Ottawa,Canada,Canada,0.7492120265960693
164,Canberra,Australia,Paris,France,France,0.7159996032714844
165,Canberra,Australia,Rome,Italy,Italy,0.663947343826294
166,Canberra,Australia,Stockholm,Sweden,Sweden,0.7069719433784485
167,Canberra,Australia,Tehran,Iran,Iran,0.7551094889640808
168,Canberra,Australia,Tokyo,Japan,Japan,0.7584798336029053
169,Canberra,Australia,Athens,Greece,Greece,0.5700702667236328
170,Canberra,Australia,Baghdad,Iraq,Mosul,0.6397027969360352
171,Canberra,Australia,Bangkok,Thailand,Thailand,0.7358657717704773
172,Canberra,Australia,Beijing,China,China,0.7823367714881897
173,Canberra,Australia,Berlin,Germany,Germany,0.7441055774688721
174,Canberra,Australia,Bern,Switzerland,Switzerland,0.5360245108604431
175,Canberra,Australia,Cairo,Egypt,Egypt,0.6859404444694519
176,Hanoi,Vietnam,Havana,Cuba,Cuba,0.6831811666488647
177,Hanoi,Vietnam,Helsinki,Finland,Finland,0.5732652544975281
178,Hanoi,Vietnam,Islamabad,Pakistan,Pakistan,0.7073384523391724
179,Hanoi,Vietnam,Kabul,Afghanistan,Afghanistan,0.7566174864768982
180,Hanoi,Vietnam,London,England,Britain,0.5320746302604675
181,Hanoi,Vietnam,Madrid,Spain,Spain,0.6318690180778503
182,Hanoi,Vietnam,Moscow,Russia,Russia,0.6925883293151855
183,Hanoi,Vietnam,Oslo,Norway,Norway,0.5300316214561462
184,Hanoi,Vietnam,Ottawa,Canada,Canada,0.5802633166313171
185,Hanoi,Vietnam,Paris,France,France,0.5821924209594727
186,Hanoi,Vietnam,Rome,Italy,Italy,0.5208398699760437
187,Hanoi,Vietnam,Stockholm,Sweden,Sweden,0.5909289717674255
188,Hanoi,Vietnam,Tehran,Iran,Iran,0.7381366491317749
189,Hanoi,Vietnam,Tokyo,Japan,Japan,0.6836793422698975
190,Hanoi,Vietnam,Athens,Greece,Greece,0.5295498967170715
191,Hanoi,Vietnam,Baghdad,Iraq,Iraq,0.7784610986709595
192,Hanoi,Vietnam,Bangkok,Thailand,Thailand,0.694861888885498
193,Hanoi,Vietnam,Beijing,China,China,0.7234392762184143
194,Hanoi,Vietnam,Berlin,Germany,Germany,0.5970562100410461
195,Hanoi,Vietnam,Bern,Switzerland,Bern_NC,0.497576504945755
196,Hanoi,Vietnam,Cairo,Egypt,Egypt,0.70243239402771
197,Hanoi,Vietnam,Canberra,Australia,Australia,0.6169843673706055
198,Havana,Cuba,Helsinki,Finland,Finland,0.6971813440322876
199,Havana,Cuba,Islamabad,Pakistan,Pakistan,0.812371551990509
200,Havana,Cuba,Kabul,Afghanistan,Afghanistan,0.7092918157577515
201,Havana,Cuba,London,England,Britain,0.6217108964920044
202,Havana,Cuba,Madrid,Spain,Spain,0.6929836869239807
203,Havana,Cuba,Moscow,Russia,Russia,0.8237830400466919
204,Havana,Cuba,Oslo,Norway,Norway,0.7030717134475708
205,Havana,Cuba,Ottawa,Canada,Canada,0.656257688999176
206,Havana,Cuba,Paris,France,France,0.6843083500862122
207,Havana,Cuba,Rome,Italy,Italy,0.6025851368904114
208,Havana,Cuba,Stockholm,Sweden,Sweden,0.7303112745285034
209,Havana,Cuba,Tehran,Iran,Iran,0.8635510206222534
210,Havana,Cuba,Tokyo,Japan,Japan,0.7725998759269714
211,Havana,Cuba,Athens,Greece,Greece,0.632399320602417
212,Havana,Cuba,Baghdad,Iraq,Iraq,0.7371042966842651
213,Havana,Cuba,Bangkok,Thailand,Thailand,0.7950247526168823
214,Havana,Cuba,Beijing,China,China,0.7704688906669617
215,Havana,Cuba,Berlin,Germany,Germany,0.6952270865440369
216,Havana,Cuba,Bern,Switzerland,Switzerland,0.502707302570343
217,Havana,Cuba,Cairo,Egypt,Egypt,0.7647275924682617
218,Havana,Cuba,Canberra,Australia,Australia,0.6877731680870056
219,Havana,Cuba,Hanoi,Vietnam,Viet_Nam,0.7109317779541016
220,Helsinki,Finland,Islamabad,Pakistan,Pakistan,0.7291182279586792
221,Helsinki,Finland,Kabul,Afghanistan,Afghan,0.6359645128250122
222,Helsinki,Finland,London,England,Britain,0.6623522043228149
223,Helsinki,Finland,Madrid,Spain,Spain,0.7539469003677368
224,Helsinki,Finland,Moscow,Russia,Russia,0.7918932437896729
225,Helsinki,Finland,Oslo,Norway,Norway,0.7523171305656433
226,Helsinki,Finland,Ottawa,Canada,Canada,0.6696931719779968
227,Helsinki,Finland,Paris,France,France,0.7549224495887756
228,Helsinki,Finland,Rome,Italy,Italy,0.6867628693580627
229,Helsinki,Finland,Stockholm,Sweden,Sweden,0.8256370425224304
230,Helsinki,Finland,Tehran,Iran,Iran,0.7732709646224976
231,Helsinki,Finland,Tokyo,Japan,Japan,0.80302494764328
232,Helsinki,Finland,Athens,Greece,Greece,0.6566227078437805
233,Helsinki,Finland,Baghdad,Iraq,Mosul,0.6506971716880798
234,Helsinki,Finland,Bangkok,Thailand,Thailand,0.752036452293396
235,Helsinki,Finland,Beijing,China,China,0.7568844556808472
236,Helsinki,Finland,Berlin,Germany,Germany,0.7419473528862
237,Helsinki,Finland,Bern,Switzerland,Switzerland,0.5047451257705688
238,Helsinki,Finland,Cairo,Egypt,Egypt,0.7302724719047546
239,Helsinki,Finland,Canberra,Australia,Australia,0.6987783312797546
240,Helsinki,Finland,Hanoi,Vietnam,Viet_Nam,0.6931595206260681
241,Helsinki,Finland,Havana,Cuba,Cuba,0.6899741888046265
242,Islamabad,Pakistan,Kabul,Afghanistan,Afghan,0.7332904934883118
243,Islamabad,Pakistan,London,England,Britain,0.6056548953056335
244,Islamabad,Pakistan,Madrid,Spain,Spain,0.6914529800415039
245,Islamabad,Pakistan,Moscow,Russia,Russia,0.831927478313446
246,Islamabad,Pakistan,Oslo,Norway,Norway,0.6795673966407776
247,Islamabad,Pakistan,Ottawa,Canada,Canada,0.6421677470207214
248,Islamabad,Pakistan,Paris,France,France,0.6944430470466614
249,Islamabad,Pakistan,Rome,Italy,Italy,0.6518086194992065
250,Islamabad,Pakistan,Stockholm,Sweden,Sweden,0.7098784446716309
251,Islamabad,Pakistan,Tehran,Iran,Iran,0.8605972528457642
252,Islamabad,Pakistan,Tokyo,Japan,Japan,0.7747603058815002
253,Islamabad,Pakistan,Athens,Greece,Greece,0.6418431401252747
254,Islamabad,Pakistan,Baghdad,Iraq,Iraqi,0.7481118440628052
255,Islamabad,Pakistan,Bangkok,Thailand,Thailand,0.7783142328262329
256,Islamabad,Pakistan,Beijing,China,China,0.8079829812049866
257,Islamabad,Pakistan,Berlin,Germany,Germany,0.7216540575027466
258,Islamabad,Pakistan,Bern,Switzerland,Switzerland,0.49683260917663574
259,Islamabad,Pakistan,Cairo,Egypt,Egypt,0.7879178524017334
260,Islamabad,Pakistan,Canberra,Australia,Australia,0.7616327404975891
261,Islamabad,Pakistan,Hanoi,Vietnam,Viet_Nam,0.7534359693527222
262,Islamabad,Pakistan,Havana,Cuba,Cuba,0.7958503365516663
263,Islamabad,Pakistan,Helsinki,Finland,Finland,0.6935102939605713
264,Kabul,Afghanistan,London,England,EURASIAN_NATURAL_RESOURCES_CORP.,0.5547584891319275
265,Kabul,Afghanistan,Madrid,Spain,Spain,0.6156005263328552
266,Kabul,Afghanistan,Moscow,Russia,Russia,0.7199913263320923
267,Kabul,Afghanistan,Oslo,Norway,Norway,0.5757439732551575
268,Kabul,Afghanistan,Ottawa,Canada,Ontario,0.551449179649353
269,Kabul,Afghanistan,Paris,France,France,0.6088168621063232
270,Kabul,Afghanistan,Rome,Italy,Italy,0.537543773651123
271,Kabul,Afghanistan,Stockholm,Sweden,Sweden,0.5849065184593201
272,Kabul,Afghanistan,Tehran,Iran,Iran,0.7807148098945618
273,Kabul,Afghanistan,Tokyo,Japan,Japan,0.6695031523704529
274,Kabul,Afghanistan,Athens,Greece,Greece,0.5494598746299744
275,Kabul,Afghanistan,Baghdad,Iraq,Iraq,0.860798180103302
276,Kabul,Afghanistan,Bangkok,Thailand,Thailand,0.6891651153564453
277,Kabul,Afghanistan,Beijing,China,China,0.6837893128395081
278,Kabul,Afghanistan,Berlin,Germany,Germany,0.6105466485023499
279,Kabul,Afghanistan,Bern,Switzerland,Bern_NC,0.4233846962451935
280,Kabul,Afghanistan,Cairo,Egypt,Egypt,0.6705425977706909
281,Kabul,Afghanistan,Canberra,Australia,Mr_Rudd,0.6034547686576843
282,Kabul,Afghanistan,Hanoi,Vietnam,Vietnam,0.7514270544052124
283,Kabul,Afghanistan,Havana,Cuba,Cuba,0.7205935120582581
284,Kabul,Afghanistan,Helsinki,Finland,Finland,0.5768634080886841
285,Kabul,Afghanistan,Islamabad,Pakistan,Pakistan,0.7463313341140747
286,London,England,Madrid,Spain,Spain,0.6087851524353027
287,London,England,Moscow,Russia,Russia,0.6502718329429626
288,London,England,Oslo,Norway,Norway,0.5689429640769958
289,London,England,Ottawa,Canada,Canada,0.5256192088127136
290,London,England,Paris,France,France,0.6676377654075623
291,London,England,Rome,Italy,Italy,0.5715967416763306
292,London,England,Stockholm,Sweden,Sweden,0.6610991358757019
293,London,England,Tehran,Iran,Iran,0.6443779468536377
294,London,England,Tokyo,Japan,Japan,0.6889491081237793
295,London,England,Athens,Greece,Greece,0.5293722152709961
296,London,England,Baghdad,Iraq,Iraqi,0.5854012370109558
297,London,England,Bangkok,Thailand,Thailand,0.6264095306396484
298,London,England,Beijing,China,China,0.6181187033653259
299,London,England,Berlin,Germany,Germany,0.5952338576316833
300,London,England,Bern,Switzerland,Hanover,0.45303669571876526
301,London,England,Cairo,Egypt,Egypt,0.5641492009162903
302,London,England,Canberra,Australia,Australia,0.6054890751838684
303,London,England,Hanoi,Vietnam,Viet_Nam,0.5810424089431763
304,London,England,Havana,Cuba,Cuba,0.5627489686012268
305,London,England,Helsinki,Finland,Finland,0.621544599533081
306,London,England,Islamabad,Pakistan,Pakistan,0.6654638051986694
307,London,England,Kabul,Afghanistan,Afghan,0.5733119249343872
308,Madrid,Spain,Moscow,Russia,Russia,0.8136780858039856
309,Madrid,Spain,Oslo,Norway,Norway,0.7230186462402344
310,Madrid,Spain,Ottawa,Canada,Canada,0.6814808249473572
311,Madrid,Spain,Paris,France,France,0.7609949111938477
312,Madrid,Spain,Rome,Italy,Italy,0.7004685997962952
313,Madrid,Spain,Stockholm,Sweden,Sweden,0.7822341918945312
314,Madrid,Spain,Tehran,Iran,Iran,0.7588755488395691
315,Madrid,Spain,Tokyo,Japan,Japan,0.8010955452919006
316,Madrid,Spain,Athens,Greece,Greece,0.6898480653762817
317,Madrid,Spain,Baghdad,Iraq,Mosul,0.657950222492218
318,Madrid,Spain,Bangkok,Thailand,Thailand,0.7701380252838135
319,Madrid,Spain,Beijing,China,China,0.7744125127792358
320,Madrid,Spain,Berlin,Germany,Germany,0.7501678466796875
321,Madrid,Spain,Bern,Switzerland,Switzerland,0.4854031801223755
322,Madrid,Spain,Cairo,Egypt,Egypt,0.7326660752296448
323,Madrid,Spain,Canberra,Australia,Australia,0.7068917751312256
324,Madrid,Spain,Hanoi,Vietnam,Viet_Nam,0.7359681725502014
325,Madrid,Spain,Havana,Cuba,Cuba,0.7222689390182495
326,Madrid,Spain,Helsinki,Finland,Finland,0.7638068199157715
327,Madrid,Spain,Islamabad,Pakistan,Pakistan,0.7176594138145447
328,Madrid,Spain,Kabul,Afghanistan,Herat,0.6163390874862671
329,Madrid,Spain,London,England,Britain,0.6784725189208984
330,Moscow,Russia,Oslo,Norway,Norway,0.7606368660926819
331,Moscow,Russia,Ottawa,Canada,Canada,0.7216339707374573
332,Moscow,Russia,Paris,France,France,0.8050409555435181
333,Moscow,Russia,Rome,Italy,Italy,0.7074911594390869
334,Moscow,Russia,Stockholm,Sweden,Sweden,0.8054226040840149
335,Moscow,Russia,Tehran,Iran,Iran,0.8776858448982239
336,Moscow,Russia,Tokyo,Japan,Japan,0.8773881793022156
337,Moscow,Russia,Athens,Greece,Greece,0.6744523048400879
338,Moscow,Russia,Baghdad,Iraq,Mosul,0.7155515551567078
339,Moscow,Russia,Bangkok,Thailand,Thailand,0.8425170183181763
340,Moscow,Russia,Beijing,China,China,0.8687476515769958
341,Moscow,Russia,Berlin,Germany,Germany,0.7774251699447632
342,Moscow,Russia,Bern,Switzerland,Switzerland,0.4851691424846649
343,Moscow,Russia,Cairo,Egypt,Egypt,0.8018569946289062
344,Moscow,Russia,Canberra,Australia,Australia,0.7593482136726379
345,Moscow,Russia,Hanoi,Vietnam,Viet_Nam,0.7691516876220703
346,Moscow,Russia,Havana,Cuba,Cuba,0.7886744141578674
347,Moscow,Russia,Helsinki,Finland,Finland,0.777961254119873
348,Moscow,Russia,Islamabad,Pakistan,Pakistan,0.8369842767715454
349,Moscow,Russia,Kabul,Afghanistan,Afghan,0.720855176448822
350,Moscow,Russia,London,England,Britain,0.7028806805610657
351,Moscow,Russia,Madrid,Spain,Spain,0.7905083894729614
352,Oslo,Norway,Ottawa,Canada,Canada,0.680922269821167
353,Oslo,Norway,Paris,France,France,0.7315605282783508
354,Oslo,Norway,Rome,Italy,Italy,0.6817960143089294
355,Oslo,Norway,Stockholm,Sweden,Sweden,0.8222189545631409
356,Oslo,Norway,Tehran,Iran,Iran,0.7522603273391724
357,Oslo,Norway,Tokyo,Japan,Japan,0.7785906791687012
358,Oslo,Norway,Athens,Greece,Greece,0.631377100944519
359,Oslo,Norway,Baghdad,Iraq,Mosul,0.6509431600570679
360,Oslo,Norway,Bangkok,Thailand,Thailand,0.7387948036193848
361,Oslo,Norway,Beijing,China,China,0.7163817286491394
362,Oslo,Norway,Berlin,Germany,Germany,0.7219190001487732
363,Oslo,Norway,Bern,Switzerland,Switzerland,0.5127913355827332
364,Oslo,Norway,Cairo,Egypt,Egypt,0.6662337779998779
365,Oslo,Norway,Canberra,Australia,Australia,0.6750895977020264
366,Oslo,Norway,Hanoi,Vietnam,Viet_Nam,0.6644774675369263
367,Oslo,Norway,Havana,Cuba,Cuba,0.6874871253967285
368,Oslo,Norway,Helsinki,Finland,Finland,0.7806000113487244
369,Oslo,Norway,Islamabad,Pakistan,Pakistan,0.7272923588752747
370,Oslo,Norway,Kabul,Afghanistan,Afghan,0.6326095461845398
371,Oslo,Norway,London,England,Britain,0.6456331610679626
372,Oslo,Norway,Madrid,Spain,Spain,0.7302021384239197
373,Oslo,Norway,Moscow,Russia,Russia,0.7961565256118774
374,Ottawa,Canada,Paris,France,France,0.6939915418624878
375,Ottawa,Canada,Rome,Italy,Italy,0.6293003559112549
376,Ottawa,Canada,Stockholm,Sweden,Sweden,0.6766181588172913
377,Ottawa,Canada,Tehran,Iran,Iran,0.7350882291793823
378,Ottawa,Canada,Tokyo,Japan,Japan,0.7678512930870056
379,Ottawa,Canada,Athens,Greece,Greece,0.6065006256103516
380,Ottawa,Canada,Baghdad,Iraq,Mosul,0.6319441795349121
381,Ottawa,Canada,Bangkok,Thailand,Thailand,0.7114494442939758
382,Ottawa,Canada,Beijing,China,China,0.7349015474319458
383,Ottawa,Canada,Berlin,Germany,Germany,0.7051476240158081
384,Ottawa,Canada,Bern,Switzerland,Switzerland,0.5049156546592712
385,Ottawa,Canada,Cairo,Egypt,Egypt,0.6439141035079956
386,Ottawa,Canada,Canberra,Australia,Australia,0.7822460532188416
387,Ottawa,Canada,Hanoi,Vietnam,Viet_Nam,0.6644910573959351
388,Ottawa,Canada,Havana,Cuba,Cuba,0.6701314449310303
389,Ottawa,Canada,Helsinki,Finland,Finland,0.6524146795272827
390,Ottawa,Canada,Islamabad,Pakistan,Pakistan,0.689796507358551
391,Ottawa,Canada,Kabul,Afghanistan,Afghan,0.5671026110649109
392,Ottawa,Canada,London,England,UK,0.6362294554710388
393,Ottawa,Canada,Madrid,Spain,Spain,0.7073505520820618
394,Ottawa,Canada,Moscow,Russia,Russia,0.7822917103767395
395,Ottawa,Canada,Oslo,Norway,Norway,0.6731111407279968
396,Paris,France,Rome,Italy,Italy,0.714356005191803
397,Paris,France,Stockholm,Sweden,Sweden,0.7924454212188721
398,Paris,France,Tehran,Iran,Iran,0.7771148681640625
399,Paris,France,Tokyo,Japan,Japan,0.8167770504951477
400,Paris,France,Athens,Greece,Greece,0.6378624439239502
401,Paris,France,Baghdad,Iraq,Mosul,0.6609416604042053
402,Paris,France,Bangkok,Thailand,Thailand,0.750830888748169
403,Paris,France,Beijing,China,China,0.7644792795181274
404,Paris,France,Berlin,Germany,Germany,0.7901254892349243
405,Paris,France,Bern,Switzerland,Switzerland,0.48789724707603455
406,Paris,France,Cairo,Egypt,Egypt,0.7062106728553772
